task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	09/a655f2	223086	fastqc (1)	CACHED	0	2023-11-14 01:12:18.622	22m 19s	22m 14s	75.4%	266.6 MB	18.5 GB	9.1 GB	3.7 MB
8	c5/b37e6b	223018	fastqc (8)	CACHED	0	2023-11-14 01:12:18.583	24m 40s	24m 36s	76.7%	307.8 MB	18.5 GB	10.3 GB	3.8 MB
2	aa/e323b7	223004	fastqc (2)	CACHED	0	2023-11-14 01:12:18.571	22m 21s	22m 16s	74.5%	279.2 MB	18.5 GB	9.1 GB	3.8 MB
3	cf/745a1a	223128	fastqc (3)	CACHED	0	2023-11-14 01:12:18.636	26m 47s	26m 43s	78.0%	302.2 MB	18.5 GB	11.5 GB	3.8 MB
4	98/6553e9	223136	fastqc (4)	CACHED	0	2023-11-14 01:12:18.644	23m 46s	23m 41s	76.4%	270.7 MB	18.5 GB	9.6 GB	3.7 MB
19	9c/0a1288	397902	trimmomatic (8)	CACHED	-	2023-11-14 01:40:52.292	-	-	-	-	-	-	-
10	2c/c9de6c	418037	fastqc (10)	COMPLETED	0	2023-11-14 03:32:28.974	23m 1s	22m 58s	98.5%	306.8 MB	18.5 GB	9.7 GB	3.3 MB
9	43/28e153	418015	fastqc (9)	COMPLETED	0	2023-11-14 03:32:28.967	24m 13s	24m 10s	98.6%	279.2 MB	18.5 GB	10.1 GB	3.3 MB
7	81/9c8fc7	417946	fastqc (7)	COMPLETED	0	2023-11-14 03:32:28.938	25m	24m 57s	98.6%	277.2 MB	18.5 GB	10.7 GB	3.3 MB
11	ff/c93219	418091	fastqc (11)	COMPLETED	0	2023-11-14 03:32:28.992	25m 37s	25m 33s	98.7%	326.5 MB	18.5 GB	10.8 GB	3.3 MB
6	f5/43d325	417977	fastqc (6)	COMPLETED	0	2023-11-14 03:32:28.950	26m 13s	26m 10s	98.7%	310.3 MB	18.5 GB	11.1 GB	3.3 MB
5	54/681b01	417924	fastqc (5)	COMPLETED	0	2023-11-14 03:32:28.917	27m 14s	27m 11s	98.8%	306.6 MB	18.5 GB	14.5 GB	3.7 MB
13	9f/fdc94e	418199	trimmomatic (2)	COMPLETED	0	2023-11-14 03:32:29.030	1h 35m 53s	1h 35m 51s	130.2%	595 MB	6.7 GB	9 GB	18.4 GB
12	2b/7fbe77	418056	trimmomatic (1)	COMPLETED	0	2023-11-14 03:32:28.980	1h 37m 54s	1h 37m 53s	128.5%	636.1 MB	6.7 GB	9 GB	18.4 GB
15	c9/0e56d8	418155	trimmomatic (4)	COMPLETED	0	2023-11-14 03:32:29.012	1h 42m 10s	1h 42m 9s	130.2%	601.9 MB	6.8 GB	9.6 GB	19.6 GB
21	47/55fa95	418072	trimmomatic (10)	COMPLETED	0	2023-11-14 03:32:28.986	1h 55m 49s	1h 55m 47s	146.1%	599.8 MB	6.8 GB	9.6 GB	15.2 GB
14	6a/022a45	417988	trimmomatic (3)	COMPLETED	0	2023-11-14 03:32:28.955	1h 57m 30s	1h 57m 29s	134.5%	603.1 MB	6.8 GB	11.4 GB	23.6 GB
20	1e/6181e9	418135	trimmomatic (9)	COMPLETED	0	2023-11-14 03:32:29.006	2h 45s	2h 44s	146.8%	599.7 MB	6.8 GB	10.1 GB	15.9 GB
